commit.id;commit.name;commit.date;commit.msg;commit.tag;project;TestClass;ProductionFile;NumberLine;NumberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 13:33:59 UTC 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;CleaningPathVisitorTest;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/file/CleaningPathVisitor.java;124;10;1;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 13:33:59 UTC 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;CountersTest;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/file/Counters.java;56;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 13:33:59 UTC 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;PathUtilsTest;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/file/PathUtils.java;46;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 13:33:59 UTC 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;CopyDirectoryVisitorTest;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/file/CopyDirectoryVisitor.java;102;7;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 13:33:59 UTC 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;DeletingPathVisitorTest;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/file/DeletingPathVisitor.java;131;10;1;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 13:33:59 UTC 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;CountingPathVisitorTest;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/file/CountingPathVisitor.java;94;6;0;0;0;0;1;0;0;4;0;0;0;1;0;0;0;0;0;1;0;0;1
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 13:33:59 UTC 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;EndianUtilsTest;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/EndianUtils.java;316;22;81;2;0;0;1;0;0;18;1;0;0;0;0;4;0;0;26;1;0;0;17
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 13:33:59 UTC 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;CopyUtilsTest;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/CopyUtils.java;217;13;3;0;0;0;1;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;1
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 13:33:59 UTC 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;TaggedIOExceptionTest;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/TaggedIOException.java;45;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 13:33:59 UTC 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;MoreComplexObjectTest;/app/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/serialization/MoreComplexObject.java;104;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 13:33:59 UTC 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;WildcardClassNameMatcherTest;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/serialization/WildcardClassNameMatcher.java;50;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
fa59009aaabcf8671a8d741993ef355f42b95ccd;Gary Gregory;Sun Sep 06 13:33:59 UTC 2020;The file src/assembly/src.xml still refers to the FindBugs configinstead of the SpotBugs config. Preparing 2.8.0-RC2.;refs/tags/commons-io-2.8.0-RC2;commons-io;FullClassNameMatcherTest;/app/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/serialization/FullClassNameMatcher.java;42;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
